,amp1mean,amp100dstd,amp10dstd,amp100dmean,power5,amp1dskew,amp100dkurt,amp10skew,power2,power1,amp1000std,amp1000dskew,amp1skew,amp100skew,amp10dskew,amp10std,amp1000dstd,power9,power4,amp100kurt,power10,power7,amp10dkurt
BeastieBoys\15 Fight for Your Right.mp3,0.3319887276223611,0.8162992104322663,0.7568483911556564,0.3854151873050299,1.2273991143301877,-0.4819885660065247,1.0635371646210336,-0.6553058578171559,-1.052600553254368,-0.3772926234513815,0.8607333939672945,0.8271163811398391,-0.6323165012804887,0.5216051142126668,-0.8056603060010556,1.0771665753897481,0.9259989935848241,1.4433019889178882,-0.6062542009774226,1.1071921877468256,1.8002387535068,1.3466450054723855,-0.4640009685734945
Garrett\01 Smooth Criminal 1.mp3,0.2582469969370713,-0.026234288182801036,0.6002725890709352,-0.6541259632432771,-0.089024856407549,-0.4911319864616164,0.8883099338663983,-0.8354559861551484,-1.1531051640169414,0.4866235212713313,0.21467175215512735,-1.1326290685848939,-0.6065113754324744,1.1411744151661043,0.15834012420970164,0.46268416840975174,0.24215649988937266,1.801525864218143,-1.7244142786836798,0.9921329789008845,0.590882167282178,1.7593182727628751,-0.5349513696225348
Garrett\02 Who Wants to Live Forever_ 1.mp3,0.2801137303050508,-1.2542374774870522,-1.3485350918428758,0.4416899557951309,-0.26558534818847435,-0.32531246044444173,2.4929313451865878,-0.10943581133284651,0.03113385292103388,-0.8948851540970147,-1.288770939008199,-0.33020422646510755,-0.2336290516518251,2.973536637344255,-0.3991720133342526,-1.6503803841829898,-1.270501211917669,0.40810201676682645,-1.3711026077648432,2.5184037378444843,-0.314137213709074,-0.0736668356625647,1.8677171598151654
Garrett\03 Clair de Lune 1.mp3,0.265785782402425,-0.9167321023815864,-0.7277373499611877,-0.26746521967520415,1.1256868259850135,-0.4996522161689329,-0.34554907279184277,0.46226045629653456,0.9155358391354401,-2.1906142471238446,-1.2480797875731244,1.9579922516577282,-0.09990346687941991,-0.3876465234942397,-0.18659624992863888,-1.3815399828305643,-1.276260228383535,0.9092237982088648,-1.2520113793305838,-0.35201831118471844,-1.112483216834657,1.9337946423742942,-0.22929802498227211
Garrett\04 He's a Pirate (Pirates of the Car 1.mp3,0.2821824882654217,-0.6735578313118049,-0.5730030619971748,-0.10780448460112642,-0.04176273402513474,-0.7129006751966831,0.4879557737132079,0.5329417188173308,0.055307450966778776,0.24375841001798726,-0.7645045904878671,1.0389527733335961,-0.061328608956601,-1.0542785405341923,-1.092847048381363,-0.9108367869816923,-0.771625478752395,-0.30215350307509525,-1.5901490189544993,0.3920885523410162,-0.8938084654872317,0.8996867908214204,1.3817411268468287
Garrett\05 Summertime 1.mp3,0.2538899220321671,-0.9696271427709915,-1.0447118690017885,0.3206022025829488,-1.5012863082411751,-0.6099027779578451,1.913526206997008,0.39523159036248695,0.6143712791952948,0.9643814934499926,-0.9644387218177148,-0.019750645285935065,-0.04763017976037665,0.9162894266679339,-0.10537063903586816,-1.2902615823626216,-0.9556209898457488,-0.2291503232848441,-0.9200614129801701,1.4738323027855824,-0.8863110433749168,-0.237588820746266,-0.6128412355352185
Garrett\09 O Mio Babbino Caro 1.mp3,0.26067715186533286,-0.7303077083148994,-0.24424738952418948,0.10163586321107598,1.0512139819826194,-0.6395552513943397,-0.39867987228900337,-0.2236146896762537,0.5751731527881133,-0.7025316848249284,-1.1261903685685557,0.6339832723159776,-0.26198412696296336,-0.053401042070556806,-0.4857951700884955,-1.049117106870998,-1.158570741157101,-0.9787581504870675,-1.4971771961537585,-0.3600225188257944,-0.8288791058270243,1.4787783602070492,0.18284012668851954
Garrett\10 Air.mp3,0.2530985017035106,-0.2898477960592764,-0.43940901562695056,-0.04990592717302796,-0.8653549074704997,-0.7856951777282281,0.6203069746714298,-0.014362923502624017,0.7838580738325239,0.9680967126633626,0.12049787330392221,-4.2458805169503595,-0.3919735342284624,-3.5716581746028706,-0.6957053141687121,-0.11253344675628012,0.15431162490114814,-1.0879807321175405,-1.4590727045264134,0.6501904395846063,-1.2621148964924669,-0.18818607710516314,-0.5604335006791701
Garrett\11 Thunderstruck.mp3,0.25822532145572147,-0.28708301095085226,-0.08148265451510783,0.02349501786226522,0.11587152770764159,-0.6276203086898673,0.570091148294351,0.33551952684409714,-0.8866236293329287,-0.370547463079423,-0.11055934428546682,1.0930168149861277,-0.2621231456480845,-0.05827488839885435,-0.5358863180772584,0.09240095035037448,-0.11090159564035298,1.6802542661102216,-1.4205031705050992,0.5780848771245185,0.7828153726304027,1.3956663867677934,0.05603738143221897
Garrett\12 New Day.mp3,0.27740569722165226,-0.882028781650709,-0.8337420335510094,-0.07693828218457045,-0.48349913301571096,-0.31228783651194536,1.8700151362738664,0.7346082479071013,0.4594111716125922,0.5394713741384553,-0.91963929324488,0.08454557824295654,-0.18174298187768792,1.7388953685363273,-0.3213150928187269,-1.1724341561134584,-0.9319790863272391,-1.0513613278246103,-1.052498610213762,1.6118969101576823,-1.271732938858918,0.9812343964286965,-0.3929726888408745
Garrett\14 Rock Prelude.mp3,0.26796306934633773,-0.5327166205762578,0.16860108517527908,-0.8296941448718645,0.16164788580127626,-0.42994364072389896,2.8673445488980924,1.1355487250154632,-1.2331817522120403,0.5612030270137383,-0.5775453873148007,-2.0546224500615966,-0.03359668375045674,1.0450148476231842,-0.095824824845422,-0.44426585233058535,-0.5655746777532045,1.4368359567578455,-1.0527683606135885,3.0718290859939232,1.211645355506405,1.453526473753269,-0.15115813072925643
Garrett\16 Little Wing.mp3,0.29443095414959625,-1.1800953585386265,-1.3020286118437452,0.04352767001197934,2.8182956488380015,-0.41313117737041327,-0.42324584793984243,-0.5152266839186536,-1.3629724141356856,-2.039975517668059,-1.0428838215129659,-0.812355263919437,-0.44894843421351704,-1.079306721154412,-0.5380456104716919,-1.302084189083814,-1.0385634638310999,0.9168661105396518,0.0018972422427711334,-0.2806696785330957,1.2115079694716864,3.462022278907603,-0.6507551214773858
